City,Latitude,Longitute,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
Port Elizabeth,-33.918,25.5701,51.8,87,0,3.44,ZA,1618720191
Vung Tau,10.346,107.0843,83.73,63,95,7.96,VN,1618720191
Bluff,-46.6,168.3333,57.99,67,86,15.99,NZ,1618720023
Ardeşen,41.1911,40.9875,60.8,67,75,20.71,TR,1618720192
Mehamn,71.0357,27.8492,34.93,78,78,13.82,NO,1618720040
Whitehorse,60.7161,-135.0538,48.2,40,1,4.61,CA,1618720097
Qaanaaq,77.484,-69.3632,-2.22,94,100,6.64,GL,1618720193
Punta Arenas,-53.15,-70.9167,46.4,81,75,4.61,CL,1618720193
Monrovia,6.3005,-10.7969,76.68,82,94,1.5,LR,1618720193
Udachny,66.4167,112.4,10.38,81,100,17.34,RU,1618720151
Arraial do Cabo,-22.9661,-42.0278,75.52,81,99,21.97,BR,1618720190
Longyearbyen,78.2186,15.6401,35.6,69,40,10.36,SJ,1618720008
Hobart,-42.8794,147.3294,62.6,51,75,17.27,AU,1618720194
East London,-33.0153,27.9116,51.8,87,0,4.61,ZA,1618720195
Saskylakh,71.9167,114.0833,12.02,88,100,12.77,RU,1618720195
Mount Gambier,-37.8333,140.7667,64.4,63,90,12.66,AU,1618720155
Mataura,-46.1927,168.8643,57.99,67,59,15.99,NZ,1618720001
Kavieng,-2.5744,150.7967,83.08,75,57,9.35,PG,1618720196
Port Blair,11.6667,92.75,86.07,64,13,5.35,IN,1618720196
Vardø,70.3705,31.1107,34.66,90,50,14.41,NO,1618720196
Port Jervis,41.3751,-74.6927,43.0,80,100,4.14,US,1618720197
Lüderitz,-26.6481,15.1594,76.44,39,4,6.51,NA,1618720197
Souillac,-20.5167,57.5167,80.6,78,75,6.91,MU,1618720197
Atuona,-9.8,-139.0333,80.74,74,36,18.95,PF,1618720198
Warsaw,52.2298,21.0118,43.0,100,90,4.61,PL,1618719985
Busselton,-33.65,115.3333,75.99,45,0,1.99,AU,1618720198
Chokurdakh,70.6333,147.9167,21.09,92,77,8.1,RU,1618720199
Eschwege,51.1833,10.0667,41.0,92,99,1.01,DE,1618720199
Chui,-33.6971,-53.4616,63.45,90,44,4.72,UY,1618720001
Hilo,19.7297,-155.09,78.8,57,20,6.91,US,1618720200
Skjervøy,70.0311,20.9714,38.55,64,71,10.0,NO,1618719996
Tamiahua,21.2667,-97.45,70.66,85,100,20.13,MX,1618720200
Airai,-8.9266,125.4092,69.15,70,85,4.56,TL,1618720201
Asekeyevo,53.5742,52.7972,51.1,45,0,12.59,RU,1618720201
Ust-Kuyga,70.0167,135.6,15.78,86,100,8.48,RU,1618720202
Te Anau,-45.4167,167.7167,53.47,74,88,6.76,NZ,1618720202
Pāsighāt,28.0667,95.3333,80.01,57,77,6.29,IN,1618720203
Belaya Gora,68.5333,146.4167,28.27,74,10,8.01,RU,1618720203
Saint George,37.1041,-113.5841,60.8,17,1,13.8,US,1618720064
Rikitea,-23.1203,-134.9692,77.31,69,31,4.03,PF,1618720203
Rājbirāj,26.5333,86.75,90.52,38,4,12.41,NP,1618720204
Jalu,29.0331,21.5482,78.49,20,47,9.13,LY,1618720204
Huarmey,-10.0681,-78.1522,68.13,87,97,5.73,PE,1618720205
Barrow,71.2906,-156.7887,33.8,75,1,12.66,US,1618720205
Adrar,20.5022,-10.0711,68.32,27,0,9.57,MR,1618720206
Upington,-28.4478,21.2561,62.6,51,0,4.61,ZA,1618720206
Thompson,55.7435,-97.8558,26.6,74,90,16.11,CA,1618720207
Laas,46.6166,10.7002,36.0,74,0,5.75,IT,1618720207
Muros,42.7762,-9.0603,46.0,86,94,7.63,ES,1618720095
Camaná,-16.6228,-72.7111,68.23,79,23,7.0,PE,1618720207
New Norfolk,-42.7826,147.0587,62.01,74,100,3.0,AU,1618719991
Ayr,55.4627,-4.6339,44.6,70,100,9.22,GB,1618720208
Nokaneng,-19.6667,22.2667,59.61,62,0,9.22,BW,1618720208
Ushuaia,-54.8,-68.3,50.0,62,40,4.61,AR,1618720209
Saint Paul Harbor,57.79,-152.4072,41.0,87,90,4.61,US,1618720209
Cherskiy,68.75,161.3,31.51,72,100,26.64,RU,1618720210
Ucluelet,48.9329,-125.5528,57.99,60,0,4.47,CA,1618720010
Ocós,14.5094,-92.1933,80.6,94,1,5.77,GT,1618720211
Price,39.5994,-110.8107,35.6,35,1,9.22,US,1618720211
Gbarnga,6.9956,-9.4722,71.58,90,100,0.56,LR,1618720211
Castro,-24.7911,-50.0119,55.44,96,3,2.57,BR,1618720212
Carnarvon,-24.8667,113.6333,82.53,42,16,8.32,AU,1618720212
Ancud,-41.8697,-73.8203,53.6,87,40,10.36,CL,1618720213
Khatanga,71.9667,102.5,4.73,87,100,13.15,RU,1618720213
Butaritari,3.0707,172.7902,82.17,77,99,9.26,KI,1618720213
Nikolskoye,59.7035,30.7861,43.0,49,0,2.24,RU,1618720010
Tiksi,71.6872,128.8694,10.13,80,100,7.61,RU,1618720214
Puerto Ayora,-0.7393,-90.3518,73.99,100,70,3.02,EC,1618720141
Andra,62.5147,65.8878,15.26,55,42,11.25,RU,1618720215
Tiarei,-17.5333,-149.3333,84.0,74,20,8.05,PF,1618720215
Banyo,6.75,11.8167,67.53,86,100,0.74,CM,1618720215
Taoudenni,22.6783,-3.9836,75.16,23,0,15.01,ML,1618720216
Port Alfred,-33.5906,26.891,67.08,30,3,8.1,ZA,1618720216
George Town,5.4112,100.3354,89.01,70,40,5.75,MY,1618720217
Altamont,42.2068,-121.7372,54.0,32,1,3.44,US,1618720217
Hillsborough,37.5741,-122.3794,57.0,71,20,9.22,US,1618720218
Coquimbo,-29.9533,-71.3436,57.2,88,90,2.3,CL,1618720218
Tasiilaq,65.6145,-37.6368,23.0,80,90,2.35,GL,1618720218
Villazón,-22.0866,-65.5942,46.06,84,7,8.97,BO,1618720219
Albany,42.6001,-73.9662,41.0,77,94,2.51,US,1618720150
Vaini,-21.2,-175.2,78.8,73,20,9.22,TO,1618720219
Corpus Christi,27.8006,-97.3964,64.4,67,90,14.97,US,1618720207
Tuktoyaktuk,69.4541,-133.0374,23.0,80,75,8.05,CA,1618720220
Geraldton,-28.7667,114.6,87.8,18,0,9.22,AU,1618720007
Tyukalinsk,55.8732,72.1967,43.93,69,100,14.76,RU,1618720220
Upernavik,72.7868,-56.1549,6.08,88,100,9.6,GL,1618720221
Hermanus,-34.4187,19.2345,72.0,22,0,8.7,ZA,1618720221
Peace River,56.2501,-117.286,39.2,75,90,20.71,CA,1618720222
Narsaq,60.9167,-46.05,19.4,42,20,2.3,GL,1618720222
Khokhlovo,59.1492,37.3998,39.2,52,0,8.95,RU,1618720222
Osypenko,46.9136,36.8253,45.0,100,95,5.99,UA,1618720223
Faanui,-16.4833,-151.75,82.42,72,34,9.33,PF,1618720223
Atar,20.5169,-13.0499,71.1,28,0,8.3,MR,1618720223
Dunedin,-45.8742,170.5036,62.01,56,97,3.33,NZ,1618720097
Kapaa,22.0752,-159.319,73.4,56,90,11.5,US,1618720224
Vao,-22.6667,167.4833,75.0,78,61,17.31,NC,1618720224
Fort Collins,40.5853,-105.0844,37.99,51,1,8.05,US,1618720064
Lebu,-37.6167,-73.65,55.0,88,99,6.93,CL,1618720225
Jamestown,42.097,-79.2353,41.0,81,90,5.75,US,1618720212
Ambilobe,-13.2,49.05,74.64,91,89,3.22,MG,1618720118
Cidreira,-30.1811,-50.2056,69.46,87,94,4.52,BR,1618720225
Isangel,-19.55,169.2667,82.4,78,75,12.66,VU,1618720225
Cape Town,-33.9258,18.4232,72.0,67,0,4.61,ZA,1618720204
Gondanglegi,-7.7479,112.0132,86.02,67,92,3.02,ID,1618720226
Anloga,5.7947,0.8973,80.6,78,20,9.22,GH,1618720226
Bambous Virieux,-20.3428,57.7575,80.6,78,75,6.91,MU,1618720227
Caravelas,-17.7125,-39.2481,72.01,91,26,4.07,BR,1618720227
Pánormos,35.4182,24.6909,75.99,44,100,5.64,GR,1618720228
Saint-Philippe,-21.3585,55.7679,78.8,83,90,5.75,RE,1618720069
Gillette,44.2911,-105.5022,41.0,80,40,4.61,US,1618720051
Pandan,14.0453,124.1694,78.8,90,100,31.79,PH,1618720228
Bethel,41.3712,-73.414,46.4,71,90,3.6,US,1618720229
Makakilo City,21.3469,-158.0858,77.0,57,1,8.05,US,1618720018
Nipawin,53.3668,-104.0009,37.4,65,90,14.97,CA,1618720229
Sangar,63.9242,127.4739,20.28,84,100,7.43,RU,1618720230
San Patricio,28.017,-97.5169,62.6,67,90,14.97,US,1618720028
Ndago,-4.6,34.35,62.83,82,91,11.52,TZ,1618720231
Martapura,-3.4167,114.85,89.6,62,20,6.91,ID,1618720231
Araouane,18.9048,-3.5265,77.04,18,45,10.4,ML,1618720231
Örnsköldsvik,63.2909,18.7153,26.6,100,7,4.61,SE,1618720139
Kargasok,59.0556,80.8572,23.99,44,96,10.67,RU,1618720232
Yining,29.0361,114.5636,59.22,73,100,0.4,CN,1618720232
Hithadhoo,-0.6,73.0833,82.31,62,54,4.99,MV,1618720233
Departamento de Maldonado,-34.6667,-54.9167,63.0,100,0,2.3,UY,1618720233
Vaitape,-16.5167,-151.75,82.44,72,35,9.31,PF,1618720233
Jasper,37.2001,-94.3502,46.99,87,90,4.61,US,1618720234
Catuday,16.2923,119.8062,82.63,66,66,5.91,PH,1618720234
Niamey,13.5137,2.1098,87.8,33,0,13.8,NE,1618720235
Santo Domingo,18.5001,-69.9886,79.0,100,20,4.61,DO,1618720055
Goundam,16.4145,-3.6708,80.62,21,22,8.75,ML,1618720235
Den Helder,52.9599,4.7593,41.0,100,98,4.61,NL,1618720236
Bougouni,11.417,-7.479,80.13,55,100,3.8,ML,1618720236
Erzurum Province,40.0,41.5,39.2,87,0,2.3,TR,1618720236
Kupang,-10.1667,123.5833,85.55,61,83,12.91,ID,1618720237
La Rioja,42.25,-2.5,44.6,65,90,11.5,ES,1618720237
Ternate,0.8,127.4,83.75,73,80,10.16,ID,1618720238
Hobyo,5.3505,48.5268,85.39,61,58,11.18,SO,1618720238
Verkhniy Tagil,57.3733,59.9556,35.74,91,41,11.12,RU,1618720238
Mossamedes,-15.1961,12.1522,81.25,67,3,5.73,AO,1618720174
Bredasdorp,-34.5322,20.0403,46.4,87,0,8.05,ZA,1618720239
Kumul,42.8,93.45,72.45,9,93,5.59,CN,1618720239
Opuwo,-18.0607,13.84,70.95,44,99,8.57,NA,1618720240
Salgueiro,-8.0742,-39.1192,69.96,87,100,4.36,BR,1618720240
Avarua,-21.2078,-159.775,80.6,78,20,5.75,CK,1618719984
Makkah al Mukarramah,21.4267,39.8261,84.9,37,75,4.47,SA,1618720241
Torbay,47.6666,-52.7314,35.01,100,90,16.11,CA,1618720241
Takoradze,4.8845,-1.7554,79.39,83,99,5.86,GH,1618720242
Río Gallegos,-51.6226,-69.2181,49.01,60,23,9.24,AR,1618720242
Calvià,39.5657,2.5062,45.0,68,24,4.29,ES,1618720243
Sabzawār,36.2126,57.6819,60.8,51,0,18.41,IR,1618720224
Dikson,73.5069,80.5464,-2.43,94,59,4.07,RU,1618719999
Hong Kong,22.2855,114.1577,77.0,63,62,23.13,HK,1618720204
Charters Towers,-20.1,146.2667,81.07,48,44,11.72,AU,1618720244
Belyy Yar,53.6039,91.3903,33.8,47,0,6.71,RU,1618720244
Tsiroanomandidy,-18.7667,46.0333,67.14,77,14,9.08,MG,1618720245
Mar del Plata,-38.0023,-57.5575,66.99,94,0,6.91,AR,1618720151
Korla,41.7597,86.1469,71.69,13,96,12.55,CN,1618720245
Chara,56.9064,118.2631,24.04,84,100,8.01,RU,1618720246
Luau,-10.7073,22.2247,62.56,93,96,3.65,AO,1618720246
Kharan,28.5833,65.4167,85.24,11,74,5.57,PK,1618720247
Doha,25.2867,51.5333,82.4,20,0,11.5,QA,1618720247
Thunder Bay,48.4001,-89.3168,33.01,80,1,2.3,CA,1618720247
Wuning,29.2589,120.2311,69.17,44,100,4.32,CN,1618720248
Ganzhou,28.8184,115.4327,61.63,71,100,4.76,CN,1618720248
Maţāy,28.419,30.7792,80.49,17,0,3.4,EG,1618720249
Iqaluit,63.7506,-68.5145,14.0,67,75,3.44,CA,1618720181
Deming,32.2687,-107.7586,55.4,35,1,17.27,US,1618720249
Kieta,-6.2167,155.6333,84.29,75,88,1.34,PG,1618720250
Baoqing,46.3317,132.2111,53.85,46,66,12.19,CN,1618720250
Saint-François,46.4154,3.9054,37.4,87,0,2.3,FR,1618720040
Honningsvåg,70.9821,25.9704,35.69,81,91,20.67,NO,1618720251
Marijampolė,54.5667,23.35,41.0,87,94,2.3,LT,1618720251
Yellowknife,62.456,-114.3525,32.0,80,40,8.05,CA,1618719963
Gouyave,12.1646,-61.7296,80.6,78,20,17.27,GD,1618720252
Balikpapan,-1.2675,116.8289,82.24,73,97,1.19,ID,1618720252
Kampong Thom,12.7111,104.8887,92.43,49,95,4.54,KH,1618720253
Mahébourg,-20.4081,57.7,80.6,78,75,6.91,MU,1618720103
Māndal,25.45,74.5667,92.8,17,0,8.05,IN,1618720253
Trivandrum,8.4833,76.9167,87.8,70,75,5.75,IN,1618720207
Raglan,-37.8,174.8833,63.0,97,91,8.99,NZ,1618720254
Lagoa,39.05,-27.9833,60.62,89,38,17.87,PT,1618720254
Chirongui,-12.9319,45.1483,80.6,78,75,14.97,YT,1618720254
Kahului,20.8947,-156.47,75.2,73,40,11.5,US,1618720255
Ribeira Grande,38.5167,-28.7,61.65,90,44,12.59,PT,1618719997
Ilulissat,69.2167,-51.1,6.8,56,40,20.71,GL,1618720255
Laguna,38.421,-121.4238,75.2,16,1,8.05,US,1618720256
Ponta do Sol,32.6667,-17.1,55.99,73,69,5.01,PT,1618720256
Moranbah,-22.0016,148.0466,83.21,36,1,13.47,AU,1618720257
Alofi,-19.0595,-169.9187,82.4,65,4,6.91,NU,1618720257
Kaitangata,-46.2817,169.8464,62.01,65,62,7.36,NZ,1618720257
Pisco,-13.7,-76.2167,66.99,88,86,3.0,PE,1618720258
Praia da Vitória,38.7333,-27.0667,59.0,88,20,8.08,PT,1618720258
Ormara,25.2088,64.6357,81.9,69,64,8.72,PK,1618720259
Margate,51.3813,1.3862,39.0,77,83,1.01,GB,1618720259
Naze,28.3667,129.4833,68.0,49,75,13.8,JP,1618720259
Ciudad del Carmen,18.6333,-91.8333,82.47,84,28,13.67,MX,1618720144
Dingle,10.9995,122.6711,90.01,44,100,14.16,PH,1618720260
Tibati,6.4667,12.6333,67.84,92,100,2.46,CM,1618720260
Visby,57.6409,18.296,43.0,75,83,8.05,SE,1618720148
Henties Bay,-22.116,14.2845,71.56,62,91,5.95,NA,1618720055
Nabire,-3.3667,135.4833,81.09,81,88,2.28,ID,1618720261
Kenai,60.5544,-151.2583,53.6,42,1,8.05,US,1618720262
Sitka,57.0531,-135.33,50.0,66,40,4.85,US,1618720262
Murray Bridge,-35.1167,139.2667,66.99,54,71,5.01,AU,1618720262
Chapais,49.7834,-74.8492,37.4,70,75,1.72,CA,1618720263
Coahuayana Viejo,18.7333,-103.6833,68.34,77,0,2.59,MX,1618720095
Bekovo,52.4663,43.712,48.96,70,0,5.32,RU,1618720263
Poya,-21.35,165.15,80.58,66,61,4.54,NC,1618720264
Sinnamary,5.3833,-52.95,77.45,80,91,13.53,GF,1618720264
Santa Barbara,34.7333,-120.0343,66.0,87,1,3.44,US,1618720265
Dawson Creek,55.7666,-120.2362,42.8,70,40,21.85,CA,1618720210
Ati,13.2154,18.3353,78.42,9,76,10.11,TD,1618720265
Codrington,-38.2667,141.9667,65.57,57,73,14.56,AU,1618720032
Rundu,-17.9333,19.7667,56.55,62,17,6.26,NA,1618720086
Yankton,42.8711,-97.3973,43.0,56,40,8.05,US,1618720266
Tauranga,-37.6861,176.1667,64.0,73,57,1.01,NZ,1618720266
Constitución,-35.3333,-72.4167,55.09,87,100,2.84,CL,1618720267
Port Lincoln,-34.7333,135.8667,66.94,46,31,7.27,AU,1618720044
Deputatsky,69.3,139.9,16.88,83,100,19.48,RU,1618720161
Jackson,42.4165,-122.8345,69.8,23,1,4.61,US,1618720207
Ixtapa,20.7,-105.2,65.84,69,0,3.56,MX,1618720267
Grenfell,-33.9,148.1667,64.87,28,0,5.68,AU,1618720268
Ulladulla,-35.35,150.4667,69.8,52,40,8.05,AU,1618720268
Shimoda,34.6667,138.95,62.6,55,20,18.41,JP,1618720268
Zhangye,38.9342,100.4517,64.22,9,100,1.28,CN,1618720019
Raudeberg,61.9875,5.1352,43.0,65,0,9.84,NO,1618720269
Batagay,67.6333,134.6333,21.65,85,100,6.89,RU,1618720270
Atambua,-9.1061,124.8925,82.29,63,85,3.8,ID,1618720270
Tuatapere,-46.1333,167.6833,57.99,67,87,15.99,NZ,1618720101
Dire Dawa,9.5931,41.8661,74.89,54,79,2.62,ET,1618720270
Hutchinson,38.0608,-97.9298,45.0,87,1,5.75,US,1618720216
Odemira,37.598,-8.6397,57.99,92,100,1.99,PT,1618720271
Palestine,31.9216,35.2033,62.6,63,0,1.14,PS,1618720271
Lorengau,-2.0226,147.2712,85.39,65,67,6.13,PG,1618720109
Salinópolis,-0.6136,-47.3561,77.2,88,99,10.69,BR,1618720272
Sand Springs,36.1398,-96.1089,50.0,76,90,6.6,US,1618720272
Brae,60.3964,-1.353,42.8,75,2,18.41,GB,1618720034
Touros,-5.1989,-35.4608,75.2,94,75,3.44,BR,1618720273
Valdivia,-39.8142,-73.2459,48.2,93,0,4.61,CL,1618720019
Bathsheba,13.2167,-59.5167,78.8,61,20,21.85,BB,1618720274
Ust'-Tarka,55.5672,75.705,44.1,63,100,14.34,RU,1618720274
Toora-Khem,52.4675,96.11,41.05,42,97,1.99,RU,1618720274
Yulara,-25.2406,130.9889,73.4,25,0,16.11,AU,1618720275
Manicoré,-5.8092,-61.3003,73.4,94,75,2.3,BR,1618720275
Jutaí,-5.1833,-68.9,72.57,98,96,1.68,BR,1618720276
Cabo San Lucas,22.8909,-109.9124,71.01,81,1,1.01,MX,1618720276
Cap Malheureux,-19.9842,57.6142,80.01,78,75,5.01,MU,1618720267
Kita,13.0349,-9.4895,79.93,52,51,2.55,ML,1618720277
Sirte,31.2089,16.5887,62.69,87,100,9.91,LY,1618720277
Mitsamiouli,-11.3847,43.2844,78.8,78,20,4.61,KM,1618720278
Burns Lake,54.2331,-125.7533,46.4,53,41,1.14,CA,1618720278
Northampton,40.8754,-75.2499,45.0,83,100,4.03,US,1618720041
Valparaíso,-33.0393,-71.6273,57.0,80,82,6.02,CL,1618720278
Phagwāra,31.2178,75.7694,88.0,35,89,0.72,IN,1618720279
Pevek,69.7008,170.3133,25.43,79,6,19.75,RU,1618720279
Garissa,-0.4536,39.6401,80.94,74,42,14.81,KE,1618720279
Poconé,-16.2567,-56.6228,71.64,91,7,3.09,BR,1618720201
Vestmanna,62.1564,-7.1664,44.6,100,100,23.02,FO,1618720280
Goianápolis,-16.5106,-49.0239,69.8,88,75,4.61,BR,1618720280
Katsuura,35.1333,140.3,69.8,26,20,21.85,JP,1618720281
Kaseda-shirakame,31.4167,130.3167,60.8,36,20,18.41,JP,1618720281
Warri,5.5167,5.75,77.95,91,100,2.08,NG,1618720282
Vila Velha,-20.3297,-40.2925,69.8,94,20,2.3,BR,1618720282
Sur,22.5667,59.5289,87.42,43,87,3.24,OM,1618720282
Claresholm,50.0333,-113.5852,51.01,33,92,8.05,CA,1618720210
Redmond,47.674,-122.1215,63.0,53,1,2.71,US,1618720283
Yar-Sale,66.8333,70.8333,3.36,93,65,11.72,RU,1618720079
Esperance,-33.8667,121.9,75.2,35,75,6.91,AU,1618720283
Hongjiang,27.11,109.9956,58.51,96,100,3.58,CN,1618720284
Am Timan,11.0297,20.2827,79.63,13,100,6.35,TD,1618720096
Lavrentiya,65.5833,-171.0,30.45,90,45,6.91,RU,1618720034
Ola,59.5833,151.2833,31.82,96,100,4.18,RU,1618720284
Santa Inês,-3.6667,-45.38,72.73,96,100,1.41,BR,1618720284
Catumbela,-12.4314,13.5472,78.21,71,22,4.21,AO,1618720285
Okhotsk,59.3833,143.3,30.27,89,98,4.85,RU,1618720285
Gambēla,8.25,34.5833,86.83,36,53,1.32,ET,1618720286
Alappuzha,9.49,76.3264,82.99,75,98,2.95,IN,1618720286
Yumen,40.2833,97.2,61.79,9,100,3.62,CN,1618720179
Makokou,0.5738,12.8642,68.13,96,100,2.13,GA,1618720286
Arkhara,49.4212,130.0842,54.57,42,5,4.88,RU,1618720287
Port Macquarie,-31.4333,152.9167,71.01,63,32,5.99,AU,1618720287
Sturgeon Falls,46.3646,-79.9326,39.99,87,1,2.3,CA,1618720288
Broken Hill,-31.95,141.4333,64.4,39,0,10.36,AU,1618720288
Fortuna,40.5982,-124.1573,48.99,93,90,3.6,US,1618720084
Kailua,21.4022,-157.7394,77.0,64,40,11.5,US,1618720288
Guilin,25.2819,110.2864,64.4,100,90,2.24,CN,1618720289
Mareeba,-17.0,145.4333,82.99,94,90,10.36,AU,1618720289
Khuzhir,53.1939,107.3397,32.77,45,8,8.32,RU,1618720290
Hualmay,-11.0964,-77.6139,66.79,89,74,6.2,PE,1618720290
Ulaanbaatar,47.9077,106.8832,50.0,32,0,15.66,MN,1618720291
Half Moon Bay,37.4636,-122.4286,57.0,93,90,12.66,US,1618720291
Hamilton,39.1834,-84.5333,46.0,81,1,5.75,US,1618720210
Manono,-7.3,27.4167,68.77,90,60,7.4,CD,1618720291
Areosa,41.7178,-8.8571,55.0,71,0,9.22,PT,1618720292
Lotoshino,56.2267,35.6414,44.02,67,40,14.5,RU,1618720292
