City,Latitude,Longitute,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
Jimeta,9.2833,12.4667,78.49,67,100,7.92,NG,1618720233
Burnie,-41.0667,145.9167,61.0,62,65,8.01,AU,1618720293
Beringovskiy,63.05,179.3167,32.29,98,100,9.98,RU,1618720048
Seoul,37.5683,126.9778,59.0,47,20,11.5,KR,1618720037
Namatanai,-3.6667,152.4333,84.88,71,93,15.17,PG,1618720294
Hornepayne,49.2138,-84.7705,32.31,70,43,3.47,CA,1618720294
Ayan,56.45,138.1667,28.38,89,98,4.38,RU,1618720131
Portland,45.5234,-122.6762,68.0,39,1,0.76,US,1618719590
Egvekinot,66.3167,-179.1667,27.7,98,100,10.04,RU,1618720295
Kaeo,-35.1,173.7833,62.01,72,99,3.0,NZ,1618720126
Koslan,63.4564,48.8989,29.35,54,12,7.16,RU,1618720295
Coroico,-16.1889,-67.7271,61.18,97,82,1.05,BO,1618720296
Benguela,-12.5763,13.4055,78.48,71,9,4.88,AO,1618720296
Grindavik,63.8424,-22.4338,33.8,80,75,11.5,IS,1618720039
Broome,42.2506,-75.833,43.0,87,90,3.44,US,1618720297
Vuktyl,63.8567,57.3094,23.43,58,69,11.27,RU,1618720297
Harare,-17.8294,31.0539,50.0,87,99,3.0,ZW,1618720298
Lodja,-3.4833,23.4333,70.57,97,100,3.56,CD,1618720298
Great Yarmouth,52.6083,1.7305,36.0,93,77,4.61,GB,1618720299
Dunkirk,51.05,2.3667,43.0,85,97,1.01,FR,1618720299
Tiznit Province,29.5833,-9.5,58.91,68,3,0.63,MA,1618720299
Ahipara,-35.1667,173.1667,61.21,60,100,5.01,NZ,1618720300
Kruisfontein,-34.0033,24.7314,60.8,29,2,2.66,ZA,1618720300
Zhangzhou,24.5133,117.6556,77.0,41,0,13.42,CN,1618720301
Provideniya,64.3833,-173.3,29.64,93,58,3.74,RU,1618720301
Pachino,36.7186,15.0907,50.0,93,20,3.44,IT,1618720301
Vila Franca do Campo,37.7167,-25.4333,62.6,94,75,11.5,PT,1618720302
Haines Junction,60.7522,-137.5108,48.2,37,11,4.61,CA,1618720302
Nome,64.5011,-165.4064,33.8,69,1,8.05,US,1618720302
Anshun,26.25,105.9333,55.65,94,100,3.56,CN,1618720303
Kuril'sk,45.2333,147.8833,39.33,93,100,27.4,RU,1618720304
Kloulklubed,7.0419,134.2556,86.0,79,75,8.05,PW,1618720304
Jiuquan,39.7432,98.5174,63.19,9,100,3.51,CN,1618720304
Norman Wells,65.282,-126.8329,42.8,49,75,3.44,CA,1618720039
Nanchang,28.6833,115.8833,61.74,64,100,8.08,CN,1618720305
Byron Bay,-28.65,153.6167,71.6,60,64,19.57,AU,1618720305
Carlisle,40.2015,-77.1889,46.0,62,99,4.38,US,1618720306
Nioro,13.35,-15.75,76.35,35,100,3.36,GM,1618720306
Port-Gentil,-0.7193,8.7815,82.65,75,100,4.27,GA,1618720163
Lunca Bradului,46.956,25.1114,34.0,81,97,5.68,RO,1618720307
Balakhta,55.38,91.6,32.13,79,100,9.13,RU,1618720307
Narrabri,-30.3167,149.7833,70.0,42,3,13.8,AU,1618720307
Kathmandu,27.7167,85.3167,71.6,49,20,2.3,NP,1618720242
Listvyanskiy,54.4399,83.4984,39.99,47,100,8.01,RU,1618720308
Kolondiéba,11.0882,-6.8926,76.53,65,99,3.89,ML,1618720308
Obama,35.4958,135.746,55.99,56,87,11.99,JP,1618720308
Ojinaga,29.5667,-104.4167,57.2,38,1,13.8,MX,1618720309
Moalboal,9.9433,123.3992,86.0,70,90,9.01,PH,1618720309
Rivadavia,-33.1905,-68.4608,71.6,56,40,3.44,AR,1618720310
Fairbanks,64.8378,-147.7164,53.6,32,1,6.91,US,1618720310
Eureka,40.8021,-124.1637,48.0,94,3,1.01,US,1618720310
Guerrero Negro,27.9769,-114.0611,58.3,81,0,17.13,MX,1618720296
Hay River,60.8156,-115.7999,35.6,75,95,9.22,CA,1618720311
Labuhan,-6.8844,112.2051,86.07,62,95,2.64,ID,1618720311
Jaisalmer,26.9147,70.9181,93.06,19,0,3.22,IN,1618720312
Takaungu,-3.6837,39.8566,77.0,100,75,12.66,KE,1618720312
Susuman,62.7833,148.1667,30.16,76,100,18.75,RU,1618720313
Miramar,25.9873,-80.2323,77.0,78,1,6.91,US,1618720193
Andenes,69.3143,16.1194,42.01,60,100,13.8,NO,1618720313
Quatre Cocos,-20.2078,57.7625,80.6,78,75,6.91,MU,1618720313
Kirgiz-Miyaki,53.6324,54.7979,48.56,49,1,11.83,RU,1618720314
Kununurra,-15.7667,128.7333,89.6,23,82,11.5,AU,1618720314
Ascension,30.2169,-90.9001,59.0,94,75,10.36,US,1618720315
Hofn,64.2539,-15.2082,43.47,97,100,12.33,IS,1618720040
Erenhot,43.6475,111.9767,65.48,7,4,20.83,CN,1618720315
Virginia Beach,36.8529,-75.978,54.0,71,75,5.75,US,1618720176
Alvarado,18.7667,-95.7667,78.8,83,40,14.97,MX,1618720316
Scottsbluff,41.8666,-103.6672,35.01,75,20,2.59,US,1618720316
Tarrafal,15.2833,-23.7667,68.0,83,20,17.27,CV,1618720316
Saldanha,-33.0117,17.9442,60.8,39,0,7.81,ZA,1618720317
Avera,33.194,-82.5271,62.6,82,90,4.61,US,1618720317
San Blas,21.5167,-105.2667,69.03,75,0,4.05,MX,1618720318
Ca Mau,9.1769,105.15,95.43,42,89,4.07,VN,1618720318
Padang,-0.9492,100.3543,86.0,62,20,5.75,ID,1618720319
Clyde River,70.4692,-68.5914,5.0,92,90,10.36,CA,1618720319
Rosetown,51.5501,-108.0014,46.4,36,100,9.22,CA,1618720319
The Valley,18.217,-63.0578,79.0,89,20,10.36,AI,1618720285
Bonavista,48.6499,-53.1147,35.01,93,100,3.44,CA,1618720320
Windhoek,-22.5594,17.0832,57.0,76,55,14.97,NA,1618720320
Merauke,-8.4667,140.3333,77.68,90,100,3.2,ID,1618720321
Alyangula,-13.8483,136.4192,87.8,51,86,11.5,AU,1618720321
Boa Vista,2.8197,-60.6733,78.8,78,0,5.75,BR,1618720321
Shīeli,44.1667,66.75,73.04,22,34,3.85,KZ,1618720322
Atbasar,51.8,68.3333,56.35,59,9,10.6,KZ,1618720322
Boone,39.0334,-92.3335,48.99,86,88,5.3,US,1618720057
Cranbrook,49.4999,-115.7688,55.4,30,20,9.22,CA,1618720323
Cayenne,4.9333,-52.3333,81.0,89,75,3.44,GF,1618720323
Srednekolymsk,67.45,153.6833,34.2,92,61,14.25,RU,1618720324
Qaqortoq,60.7167,-46.0333,19.4,42,20,2.3,GL,1618720324
Itigi,-5.7,34.4833,63.27,90,99,10.07,TZ,1618720325
Saquena,-4.6667,-73.5167,70.74,98,92,2.1,PE,1618720325
Baghdad,33.3406,44.4009,69.8,35,0,3.44,IQ,1618720325
São Filipe,14.8961,-24.4956,71.58,73,0,10.58,CV,1618720326
Garden City,42.3256,-83.331,48.2,71,20,3.44,US,1618720326
College,64.8569,-147.8028,53.6,40,1,4.61,US,1618720327
San Cristobal,7.7669,-72.225,67.06,84,87,2.51,VE,1618720327
Waddān,29.1614,16.139,73.38,41,100,3.2,LY,1618720328
Lubao,14.9167,120.55,93.2,40,75,9.22,PH,1618720328
Tigil',57.8,158.6667,34.65,99,100,15.46,RU,1618720135
Petrolina,-9.3986,-40.5008,77.0,69,0,4.61,BR,1618720329
Bow Island,49.8668,-111.3684,51.8,30,100,3.44,CA,1618720329
Tsybli,49.9948,31.5628,41.0,93,40,4.47,UA,1618720330
Oranjestad,12.524,-70.027,80.6,83,20,18.41,AW,1618720038
Bukama,-9.2,25.85,66.42,91,42,2.13,CD,1618720330
Charleville-Mézières,49.7667,4.7167,39.99,93,90,5.75,FR,1618720331
Carnot,4.9409,15.8665,68.52,95,100,1.41,CF,1618720331
Nuevo Imperial,-13.0754,-76.3172,71.17,76,89,2.86,PE,1618720331
Sendafa,9.15,39.0333,60.8,63,75,11.5,ET,1618720332
Vanavara,60.34,102.2797,26.17,59,87,9.8,RU,1618720332
Arman',59.7,150.1667,32.16,96,100,0.74,RU,1618720333
Puerto Santander,8.3636,-72.4063,74.05,92,90,1.07,CO,1618720333
Benghazi,32.1167,20.0667,65.75,78,100,16.55,LY,1618720334
Nantucket,41.2835,-70.0995,42.8,87,90,4.61,US,1618720334
Wanaka,-44.7,169.15,51.04,82,100,7.31,NZ,1618720335
Antalaha,-14.9003,50.2788,77.63,85,43,4.18,MG,1618720335
Pangnirtung,66.1451,-65.7125,-0.54,82,18,8.1,CA,1618720336
Paamiut,61.994,-49.6678,12.06,58,7,9.06,GL,1618720337
Goderich,43.7501,-81.7165,41.0,87,35,3.44,CA,1618720337
Celestún,20.8667,-90.4,80.17,80,13,9.95,MX,1618720338
Salalah,17.0151,54.0924,82.4,54,0,3.44,OM,1618720338
Leer,8.3018,30.1418,85.69,43,80,7.34,SS,1618720338
Wajima,37.4,136.9,48.2,76,75,16.11,JP,1618720339
Kedrovyy,56.1667,91.8167,32.0,43,0,8.95,RU,1618720339
Ketchikan,55.3422,-131.6461,50.0,66,1,3.44,US,1618720340
Muroto-misakicho,33.2833,134.15,60.8,39,75,10.36,JP,1618720340
Solnechnyy,50.7214,136.6319,49.5,61,29,3.91,RU,1618720340
Caxito,-8.5785,13.6643,77.0,88,40,6.91,AO,1618720341
Atasū,48.6814,71.6433,62.92,33,70,7.78,KZ,1618720341
Mānsa,29.9833,75.3833,90.75,21,2,5.64,IN,1618720342
Husavik,66.0449,-17.3389,35.6,93,75,2.95,IS,1618720342
Tāybād,34.74,60.7756,67.37,31,60,12.64,IR,1618720342
Lakes Entrance,-37.8811,147.981,68.0,53,9,1.99,AU,1618720342
Florence,43.7667,11.25,43.0,70,0,3.44,IT,1618720062
Resende,-22.4689,-44.4467,65.71,93,100,1.48,BR,1618720343
Boca do Acre,-8.7522,-67.3978,72.12,99,100,1.77,BR,1618720343
Mīnāb,27.1467,57.0801,75.2,73,75,4.61,IR,1618720344
Jaunjelgava,56.6167,25.0833,44.01,64,85,1.99,LV,1618720344
Prince George,53.9166,-122.753,50.0,50,1,4.9,CA,1618720345
Amalāpuram,16.5833,82.0167,87.8,70,40,5.75,IN,1618720345
Chifeng,42.2683,118.9636,70.66,9,0,14.2,CN,1618720346
Beyneu,45.3167,55.2,68.2,26,97,3.06,KZ,1618720346
Brandon,27.9378,-82.2859,77.0,88,90,5.91,US,1618720346
Klaksvík,62.2266,-6.589,44.6,100,100,23.02,FO,1618720111
Havelock,34.8791,-76.9013,55.99,94,1,2.68,US,1618720214
Yerbogachën,61.2767,108.0108,20.23,59,78,12.73,RU,1618720347
Los Palacios,22.5872,-83.2486,72.9,94,44,2.55,CU,1618720347
Aklavik,68.2191,-135.0107,41.0,48,87,3.44,CA,1618720348
Pochutla,15.7432,-96.4661,77.0,82,3,3.0,MX,1618720348
Rocha,-34.4833,-54.3333,59.25,95,83,3.44,UY,1618720349
Honiara,-9.4333,159.95,82.94,82,96,4.41,SB,1618720349
Koumac,-20.5667,164.2833,80.15,70,51,4.21,NC,1618720350
Liuzhou,24.3126,109.3892,65.46,94,100,4.25,CN,1618720350
Anaco,9.4389,-64.4728,77.0,65,54,12.77,VE,1618720350
Vostok,46.4856,135.8833,52.32,34,40,9.73,RU,1618720351
Severnoye,56.3491,78.3619,36.9,91,100,6.67,RU,1618720351
Changping,40.2186,116.2197,73.0,18,0,8.95,CN,1618720352
Cervo,43.6702,-7.4101,28.99,100,44,1.99,ES,1618720352
Oranjemund,-28.55,16.4333,73.6,38,3,3.13,NA,1618720352
Kalinin,47.2468,39.5109,41.0,93,0,2.24,RU,1618720353
Aci Castello,37.5583,15.1346,55.0,100,40,4.61,IT,1618720353
La Ronge,55.1001,-105.2842,33.8,60,97,6.91,CA,1618720354
Isoka,-10.1606,32.6335,58.03,94,97,5.26,ZM,1618720221
Neuquén,-38.9516,-68.0591,55.4,76,0,6.33,AR,1618720354
Port Said,31.2565,32.2841,69.8,60,0,8.05,EG,1618720355
Yenagoa,4.9247,6.2642,77.85,91,100,3.22,NG,1618720168
North Myrtle Beach,33.816,-78.68,64.0,77,1,8.05,US,1618720355
Badvel,14.75,79.05,91.4,58,4,3.44,IN,1618720356
Riyadh,24.6877,46.7219,71.6,24,0,5.75,SA,1618720136
Patea,-39.7583,174.4833,62.01,79,85,8.01,NZ,1618720356
Pushkino,56.0172,37.8667,44.6,42,0,13.42,RU,1618720357
Belmonte,-15.8631,-38.8828,69.8,88,0,3.44,BR,1618720088
Fort Nelson,58.8053,-122.7002,37.4,93,75,4.61,CA,1618720074
Weligama,5.9667,80.4167,80.15,81,100,4.05,LK,1618720357
Mildura,-34.2,142.15,66.99,42,90,6.91,AU,1618720358
Turukhansk,65.8167,87.9833,13.19,77,91,8.99,RU,1618720358
Asău,46.4333,26.4,43.0,53,86,3.8,RO,1618720359
Poum,-20.2333,164.0167,79.74,71,13,11.61,NC,1618720359
Panguna,-6.3164,155.4848,77.14,83,99,2.39,PG,1618720359
Batemans Bay,-35.7167,150.1833,66.99,65,15,5.99,AU,1618720360
Los Llanos de Aridane,28.6585,-17.9182,66.2,63,90,11.5,ES,1618720360
Careiro da Várzea,-3.2003,-59.8119,78.8,100,75,2.3,BR,1618720361
Esim,4.8699,-2.2405,79.81,82,98,5.64,GH,1618720361
Kaa-Khem,51.6833,94.7333,46.42,27,18,2.55,RU,1618720362
Boussé,12.6606,-1.8922,87.8,40,0,8.05,BF,1618720362
Apomu,7.3333,4.1833,73.58,97,99,0.96,NG,1618720363
Mūdbidri,13.0833,74.9833,87.8,70,40,4.61,IN,1618720112
Muzaffargarh,30.0754,71.1921,80.6,54,0,4.61,PK,1618720363
Talnakh,69.4865,88.3972,-6.12,86,34,3.83,RU,1618720364
Sai Buri,6.7013,101.6168,89.6,62,20,9.22,TH,1618720364
Puerto Colombia,10.9878,-74.9547,80.6,83,0,6.91,CO,1618720364
Krutinka,56.0055,71.5113,42.35,68,100,15.66,RU,1618720365
Chanika,-5.4167,38.0167,68.59,94,93,6.33,TZ,1618720365
Polyarny,69.1989,33.4478,30.2,100,91,6.67,RU,1618720366
Lianran,24.9227,102.485,73.0,59,40,11.18,CN,1618720366
Pionerskiy,54.9508,20.2275,46.0,93,96,2.24,RU,1618720366
Nakatsu,33.5981,131.1883,59.0,47,40,24.16,JP,1618720367
Severo-Kuril'sk,50.6789,156.125,36.97,65,100,11.1,RU,1618720367
Dunmore Town,25.5,-76.65,76.98,85,7,11.32,BS,1618720367
Nanortalik,60.1432,-45.2371,24.58,52,0,22.73,GL,1618720368
Bengkulu,-3.8004,102.2655,83.75,65,91,5.37,ID,1618720368
Dalvik,65.9702,-18.5286,35.6,93,75,4.83,IS,1618720368
Whyalla,-33.0333,137.5833,66.2,59,90,8.05,AU,1618720261
Kondinskoye,59.6481,67.41,21.49,53,100,21.32,RU,1618720369
Alanya,36.5438,31.9998,75.0,63,75,3.44,TR,1618720369
Seryshevo,51.0933,128.3786,56.75,33,0,13.2,RU,1618720370
Leshukonskoye,64.8989,45.7622,28.08,53,27,6.17,RU,1618720370
Oriximiná,-1.7656,-55.8661,73.45,95,83,1.66,BR,1618720371
Kokopo,-4.352,152.2633,81.73,78,84,4.81,PG,1618720371
Stowe,40.2526,-75.6774,46.99,71,90,4.41,US,1618720372
Palmer,42.1584,-72.3287,41.0,87,90,1.21,US,1618720244
Chul'man,56.8479,124.9104,28.44,92,100,12.8,RU,1618720372
Waipawa,-41.4122,175.5153,62.6,59,8,17.27,NZ,1618720372
Ostrovnoy,68.0531,39.5131,29.37,75,97,11.81,RU,1618720373
Izumo,35.3667,132.7667,50.0,71,75,28.77,JP,1618720373
La Santisima Trinidad,-14.8333,-64.9,72.86,96,74,2.06,BO,1618720373
Trofors,65.5333,13.4063,39.2,75,61,4.61,NO,1618720374
Brownsville,25.9018,-97.4975,62.6,77,90,9.22,US,1618720374
Hailar,49.2,119.7,44.65,66,6,9.31,CN,1618720375
Rudnaya Pristan',44.3614,135.8116,48.58,60,100,9.78,RU,1618720375
Nālūt,30.3333,10.85,57.36,70,100,13.98,LY,1618720376
Khāsh,28.2211,61.2158,73.35,16,100,8.03,IR,1618720376
Morros,-9.4467,-46.3003,72.99,79,100,2.3,BR,1618720376
Vallenar,-28.5708,-70.7581,62.01,74,0,1.12,CL,1618720377
Vestmannaeyjar,63.4427,-20.2734,39.47,62,100,23.78,IS,1618720077
Terrace,54.5163,-128.6035,55.4,44,20,8.05,CA,1618720210
Okha,53.5739,142.9478,36.61,93,82,2.06,RU,1618720377
Mahemdāvād,22.8333,72.7667,91.4,31,2,5.75,IN,1618720378
Port Augusta,-32.5,137.7667,66.2,59,90,8.05,AU,1618720378
Saint-Pierre,-21.3393,55.4781,75.2,83,90,5.75,RE,1618720379
Ürümqi,43.801,87.6005,64.4,34,0,4.47,CN,1618720379
Zeya,53.75,127.2667,54.37,43,99,10.22,RU,1618720380
Garoowe,8.4054,48.4845,78.17,64,5,9.95,SO,1618720380
Cēsis,57.3119,25.2746,44.01,64,81,1.99,LV,1618720381
Manggar,-2.8833,108.2667,86.81,58,100,4.94,ID,1618720381
Alta Floresta,-9.8756,-56.0861,69.4,98,100,2.86,BR,1618720381
Itoman,26.1247,127.6694,69.8,52,20,24.16,JP,1618720091
Torit,4.4133,32.5678,77.16,63,100,2.39,SS,1618720382
Alcácer do Sal,38.3733,-8.5144,57.99,87,0,2.3,PT,1618720382
Grande Prairie,55.1667,-118.8027,44.6,61,75,13.8,CA,1618720383
San Vicente,-26.6167,-54.1333,58.05,91,13,3.15,AR,1618720383
Lábrea,-7.2586,-64.7981,73.15,99,100,2.04,BR,1618720384
Prince Rupert,54.3161,-130.3201,53.6,58,1,3.44,CA,1618720384
Leningradskiy,69.3833,178.4167,35.04,81,100,7.65,RU,1618720154
Sevierville,35.8681,-83.5618,55.4,54,90,0.67,US,1618720217
Sambava,-14.2667,50.1667,79.27,79,42,6.42,MG,1618720385
Ilula,-7.6766,36.0366,62.6,67,20,8.05,TZ,1618720385
Glendive,47.1053,-104.7125,39.2,48,1,6.91,US,1618720385
Sheboygan,43.7333,-87.9334,39.0,80,1,3.06,US,1618720386
Herat Province,34.5,62.0,68.0,30,0,5.75,AF,1618720386
Banjar,-8.19,114.9675,87.8,74,40,9.22,ID,1618720387
Le Mans,48.0,0.2,39.2,75,0,3.44,FR,1618720387
Mahina,-17.5065,-149.489,84.0,74,20,8.05,PF,1618720387
Yenotayevka,47.2456,47.0281,53.94,66,100,6.46,RU,1618720388
Hambantota,6.1241,81.1185,86.0,79,40,11.5,LK,1618720388
Soyo,-6.1349,12.3689,78.44,86,100,4.12,AO,1618720388
Lira,2.235,32.9097,70.45,78,82,3.04,UG,1618720389
Jingdezhen,29.2947,117.2079,69.71,44,100,3.4,CN,1618720389
Mongo,12.1844,18.693,83.19,8,89,7.87,TD,1618720390
Lagos de Moreno,21.35,-101.9167,71.6,10,1,4.61,MX,1618720390
Santa Isabel,-23.3156,-46.2214,68.0,94,75,3.44,BR,1618720391
Tumut,-35.3,148.2167,66.2,37,5,5.75,AU,1618720391
Kidal,18.4411,1.4078,80.58,20,74,11.88,ML,1618720391
Paita,-5.0892,-81.1144,69.53,78,95,9.95,PE,1618720392
Nueve de Julio,-35.4444,-60.8831,63.0,83,32,4.0,AR,1618720267
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,69.01,89,31,5.28,AR,1618720392
Coswig,51.1333,13.5833,43.0,81,90,4.61,DE,1618720393
Port Moresby,-9.4431,147.1797,86.0,74,75,9.22,PG,1618720393
Suez,29.9737,32.5263,78.75,24,0,1.32,EG,1618720393
Haileybury,47.449,-79.6373,46.4,57,90,9.22,CA,1618720394
Damietta,31.4165,31.8133,69.8,60,0,8.05,EG,1618720394
Ubari,26.5921,12.7805,77.09,26,100,3.33,LY,1618720395
Daru,-9.0763,143.2092,85.78,69,93,4.21,PG,1618720395
Hasaki,35.7333,140.8333,68.0,34,40,14.97,JP,1618720395
Lodwar,3.1191,35.5973,83.97,48,77,19.55,KE,1618720396
Ballina,-28.8667,153.5667,71.6,60,81,19.57,AU,1618720396
Praia,14.9215,-23.5087,68.0,83,20,17.27,CV,1618720397
Kūhdasht,33.535,47.6061,46.4,71,20,4.61,IR,1618720397
Penzance,50.1186,-5.5371,35.6,87,100,8.05,GB,1618720397
Khamānon Kalān,30.8186,76.3508,88.0,34,75,2.3,IN,1618720398
Cherëmukhovo,60.3484,59.9851,26.06,64,98,12.91,RU,1618720398
Etah,27.6333,78.6667,92.37,19,0,7.58,IN,1618720398
Āsosa,10.0667,34.5333,76.68,13,11,2.13,ET,1618720399
Kayerkan,69.3497,87.7602,-9.11,91,53,5.14,RU,1618720399
Tiruchchendur,8.4833,78.1167,86.0,70,20,3.44,IN,1618720400
Kafue,-15.7691,28.1814,60.8,82,75,9.22,ZM,1618720400
Ratlām,23.3167,75.0667,94.75,18,0,12.28,IN,1618720401
Flagstaff,35.1981,-111.6513,41.0,44,75,3.44,US,1618720401
Trairi,-3.2778,-39.2689,74.52,92,22,5.23,BR,1618720401
Fukuechō,32.6881,128.8419,57.2,58,40,17.27,JP,1618720402
Yārāda,17.65,83.2667,87.49,61,0,10.25,IN,1618720402
Leh,34.1667,77.5833,38.39,50,99,6.17,IN,1618720390
Mattru,7.6244,-11.8332,75.15,92,97,2.28,SL,1618720402
Pinega,64.7001,43.3936,30.76,48,55,6.64,RU,1618720403
Lake Havasu City,34.4839,-114.3224,73.4,13,1,13.8,US,1618720403
San Quintín,30.4833,-115.95,56.82,85,0,8.68,MX,1618720404
Aykhal,66.0,111.5,7.39,87,100,17.45,RU,1618720395
Bocana de Paiwas,12.7857,-85.1227,73.87,92,97,2.01,NI,1618720404
La Ciotat,43.1748,5.6045,46.99,88,100,7.34,FR,1618720404
